Company
Apple Inc. (AAPL)
Microsoft Corporation (MSFT)
NVIDIA Corporation (NVDA)
Broadcom Inc. (AVGO)
Adobe Inc. (ADBE)
"Cisco Systems, Inc. (CSCO)"
Oracle Corporation (ORCL)
"Salesforce, Inc. (CRM)"
Intel Corporation (INTC)
Texas Instruments Inc. (TXN)
Qualcomm Incorporated (QCOM)
International Business Machines Corporation (IBM)
"PayPal Holdings, Inc. (PYPL)"
"ServiceNow, Inc. (NOW)"
Intuit Inc. (INTU)
"Advanced Micro Devices, Inc. (AMD)"
HP Inc. (HPQ)
"Micron Technology, Inc. (MU)"
"Analog Devices, Inc. (ADI)"
Lam Research Corporation (LRCX)
"Applied Materials, Inc. (AMAT)"
KLA Corporation (KLAC)
"Marvell Technology, Inc. (MRVL)"
"Cadence Design Systems, Inc. (CDNS)"
"Synopsys, Inc. (SNPS)"
"Fortinet, Inc. (FTNT)"
"F5, Inc. (FFIV)"
"Arista Networks, Inc. (ANET)"
"Motorola Solutions, Inc. (MSI)"
Western Digital Corporation (WDC)
Seagate Technology Holdings PLC (STX)
"Xilinx, Inc. (XLNX)"
NortonLifeLock Inc. (NLOK)
"Akamai Technologies, Inc. (AKAM)"
"VeriSign, Inc. (VRSN)"
"Keysight Technologies, Inc. (KEYS)"
"Gartner, Inc. (IT)"
"EPAM Systems, Inc. (EPAM)"
"Jack Henry & Associates, Inc. (JKHY)"
CDW Corporation (CDW)
"ANSYS, Inc. (ANSS)"
Amphenol Corporation (APH)
ON Semiconductor Corporation (ON)
Microchip Technology Incorporated (MCHP)
"Skyworks Solutions, Inc. (SWKS)"
"Monolithic Power Systems, Inc. (MPWR)"
"Enphase Energy, Inc. (ENPH)"
"SolarEdge Technologies, Inc. (SEDG)"
Coherent Corp. (COHR)
"Teradyne, Inc. (TER)"
Zebra Technologies Corporation (ZBRA)
Trimble Inc. (TRMB)
"Tyler Technologies, Inc. (TYL)"
Cognizant Technology Solutions Corporation (CTSH)
DXC Technology Company (DXC)
"Leidos Holdings, Inc. (LDOS)"
Science Applications International Corporation (SAIC)
"Lumen Technologies, Inc. (LUMN)"
Corning Incorporated (GLW)
"NetApp, Inc. (NTAP)"
"Citrix Systems, Inc. (CTXS)"
"Juniper Networks, Inc. (JNPR)"
"CommScope Holding Company, Inc. (COMM)"
Ciena Corporation (CIEN)
"Aruba Networks, Inc. (ARUN)"
"Palo Alto Networks, Inc. (PANW)"
Check Point Software Technologies Ltd. (CHKP)
"VMware, Inc. (VMW)"
