Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall,Image Path
2010,SNPS,Aart de Geus,23.0,Man,white,neutral,0.7912613451480865,99.2087423801422,16.34805202484131,0.2456257352605462,0.0447538681328296,77.56155729293823,2.995728887617588,2.804282121360302,14.436040818691254,0.0052425522881094,0.0543531263247132,24.848809838294983,2.274687774479389,0.0143627650686539,58.36650133132935,1.1991978256226097,6.198752352630331,
2011,SNPS,Aart de Geus,39.0,Man,white,happy,0.023533588682767,99.9764621257782,15.936492383480072,3.6283303052186966,1.0040493682026863,46.289533376693726,18.317557871341705,14.824040234088898,2.330624498426914,0.0416339025832712,0.1122904592193663,89.35837745666504,7.695452123880386,0.0002694721615625,0.4613552242517471,1.01077669703351,6.198752352630331,
2012,SNPS,Aart de Geus,39.0,Man,white,happy,0.020586623577401,99.97941851615906,21.657046675682068,6.533931940793991,1.9328445196151731,33.936554193496704,13.97518515586853,21.964439749717712,6.612323969602585,0.0004818177330889,0.2720406046137213,92.98559427261353,0.1264738268218934,7.644380275451113e-05,0.0030064658858464,1.1705882080698509,6.198752352630331,
2013,SNPS,Aart de Geus,40.0,Man,asian,neutral,0.0046937522711232,99.9953031539917,31.55612051486969,7.806004583835602,4.979990050196648,22.27325141429901,14.167673885822296,19.216957688331604,1.3688297010958197,0.1349614351056516,16.79016500711441,35.78716516494751,5.84615021944046,0.0494599982630461,40.023273229599,1.2741834013944455,6.198752352630331,
2014,SNPS,Aart de Geus,35.0,Man,asian,angry,0.2512690611183643,99.74873065948486,69.29486393928528,8.723872154951096,4.266772791743279,4.697414115071297,1.385151594877243,11.631929129362106,54.63904142379761,1.4037649147212503,13.782790303230286,0.0068927547545172,30.132359266281128,0.0168760554515756,0.0182768679223954,1.0714814283385086,6.198752352630331,
2015,SNPS,Aart de Geus,55.0,Man,white,sad,0.0388299609767273,99.96116757392883,8.372475951910019,0.9798998013138772,0.1629019971005618,74.59264993667603,9.05502438545227,6.837046891450882,1.0230367681704025,1.1759015440601468e-05,0.7584821419258202,0.0015035048805054,95.16655773917184,7.495668106672479e-05,3.0503362372718,1.0492293381539923,6.198752352630331,
2016,SNPS,Aart de Geus,,,,,,,,,,,,,,,,,,,,1.2905064639923032,6.198752352630331,
2017,SNPS,Aart de Geus,41.0,Man,white,happy,0.0056463191867806,99.9943494796753,0.5227725952863693,0.3405604278668761,0.0416207156376913,89.81043696403503,5.977411940693855,3.307202458381653,0.0818485801573842,1.388790860090694e-06,0.7088155020028353,55.81974983215332,0.0192952313227579,0.0013007207599002,43.36899518966675,1.4481820757707995,6.198752352630331,
2018,SNPS,Aart de Geus,38.0,Man,white,fear,0.0585231173317879,99.94148015975952,10.64138434632011,1.4994572923234353,0.4258268005160331,64.96087730397257,10.394387943221576,12.078061750166208,16.366751492023468,3.9370033890008926,35.35009324550629,6.553830206394196,19.86559629440308,0.2551536308601498,17.671571671962738,0.9882684182888156,6.198752352630331,
2019,SNPS,Aart de Geus,39.0,Man,white,angry,0.1329432125203311,99.86705780029295,0.3612304088834172,0.4294385458194342,0.025170385242351,76.87105994648098,13.077264313534757,9.23583413576091,55.7414174079895,0.0001411248490512,19.58119422197342,0.0090618690592236,24.66755360364914,5.143228065662697e-06,0.0006296689207374,1.6512346822285544,6.198752352630331,
